縣市代碼,鄉鎮市區代碼,地址資訊,景點名稱,景點型態,景點類別,美食類別,美食適合時段,經度,緯度,連絡電話,網站連結,營業時間,圖片,Gomaji類別,FB連結,簡介
66,6601700,"台中市潭子區復興路二段52號
                                                    
",大叔台味鍋,美食,['小吃/特產類'],['中式美食'],['中餐'],120.7067992,24.2081184,(04)2538-0892,,週一至週日 11:00~21:30 每週三公休,https://picdn.gomaji.com/uploads/stores/709/121709/193638/121709-193638-m-1517293998.jpg?1517387270,餐券,https://www.facebook.com/大叔台味鍋-472116689646740/,	台中市潭子區復興路二段 52 號的大叔台味鍋，專營美味優質的鍋物，嚴格把關食安問題，讓人一進門便捨不得離開。對肉品嚴謹有自信，湯頭溫和好下肚，本次推出雙人餐優惠，要搶要快，機會難得！
66,6602800,"台中市大里區益民路一段148號
                                                    
",排排讚平價牛排館,美食,['小吃/特產類'],['異國料理'],"['中餐', '晚餐']",,,(04)2486-4699,,週一至週五 11:30~14:00 16:30~22:00 週六至週日 11:00~22:00 每週四公休，其他不定時公休依FB粉絲團公告為主,https://picdn.gomaji.com/uploads/stores/487/108487/193727/108487-193727-m-1516880193.jpg?1517387247,餐券,https://www.facebook.com/www.0424864699/,　❖ 排排讚平價牛排館 ❖　	捨棄華麗吸睛的裝潢，將成本全數用在給消費者更好的食材與用料，每一口都能嚐到食物的純粹甜鮮與主廚用心，在佳餚中注入滿滿的人情味，成為台灣最難能可貴的風景！
66,6600400,"台中市西區臺灣大道二段459號14樓(台中廣三SOGO百貨14樓)
                                                    
",Mr.Onion天蔥牛排餐廳(台北新光站前店),美食,['小吃/特產類'],['異國料理'],['中餐'],120.6878186,24.136316,(04)2329-1557,http://www.mr-onion.com/,週一至週日 11:00~22:00,https://picdn.gomaji.com//uploads/stores/039/39/182895/39-182895-m.jpg?1517387358,餐券,,	徜徉異國鄉村風情，石砌棟樑、紅磚牆柱、鄉村碎花、原木桌椅、彩繪貝殼、鑄鐵吊燈，加上一點「Old Fashion」的氛圍，溫馨感升級，帶給每一位前來用餐顧客與眾不同的用餐感受。
,,,款待古早味手路菜,美食,['小吃/特產類'],['其他'],,,,,,,https://picdn.gomaji.com/uploads/stores/673/108673/187990/119979-188049-m.jpg?1517561078,餐券,,	即為貼心招待，服務周到，	除此外應別無他了？
66,6600500,"台中市北區三民路三段161號15樓(中友百貨C棟)
                                                    
",藍象廷泰鍋(中友店),美食,['小吃/特產類'],['異國料理'],['中餐'],120.6849171,24.1521254,(04)2225-9610,http://www.lanxianting.com.tw/,週一至週五 11:00~21:30 週六至週日 11:00~22:00,https://picdn.gomaji.com/uploads/stores/594/69594/189404/69594-189404-m.jpg?1517387323,餐券,,❀各大媒體報導，泰式新吃法，泰式＋日式＝創意新風味！
66,6600400,"台中市西區公益路91號(近中正國小、勤美誠品綠園道)
                                                    
",韓口飯-韓式平價料理,美食,['小吃/特產類'],['異國料理'],"['中餐', '晚餐']",120.663848,24.1512354,(04)2301-0459,,週二至週日 11:30~14:30 17:00~20:30 每週一公休,https://picdn.gomaji.com/uploads/stores/516/117516/194053/117516-194053-m-1517463327.jpg?1517500824,餐券,,【韓口飯-韓式平價料理】推出超值雙人餐給麻吉們一飽口福囉 ~大口豪邁地享用美妙佳餚，道地風味只要一口便能征服你的胃，快揪好友一起來享用！
66,6600700,"台中市南屯區永春東路898-3號
                                                    
",我流精緻烤物,美食,['小吃/特產類'],['火烤料理'],"['中餐', '晚餐', '宵夜']",,,(04)2380-3166,,週一至週六 11:30~14:00 17:30~01:00  週日 17:30~01:00 每週四公休,https://picdn.gomaji.com/uploads/stores/210/115210/194888/115210-194888-m-1518073176.jpg?1518105619,餐券,https://www.facebook.com/woliumystyle/,	位於台中市南屯區永春東路 898-3 號，專營美味的燒物，用料新鮮實在，環境質感佳，讓人一進門便捨不得離開，越夜越美麗，適合聚餐小酌，甚至尾牙包場，無所不容！老闆霸氣揪你吃好料，特別精選雙人碳烤饗宴，豪邁登場！
66,6600700,"台中市南屯區文心路一段79號(近五權西路與文心路交叉)
                                                    
",鐵鍋-石鍋料理專賣,美食,['小吃/特產類'],"['異國料理', '中式美食']","['中餐', '晚餐']",,,(04)2471-9363,,週一至週日 11:30~15:00 17:00~22:00 不定期公休請參考FB公告,https://picdn.gomaji.com/uploads/stores/118/121118/195255/IMG_5482.jpg?1518105628,餐券,,	鐵鍋石鍋料理專賣以創意石鍋料理的方式呈現，不僅有經典的韓式石鍋拌飯，更結合日式醬料與在地台式料理，提供更多風味的創意石鍋餐點，讓您享用多樣化的石鍋美味！
66,6600400,"台中市西區向上路一段109號
                                                    
",青森鍋物,美食,['小吃/特產類'],['異國料理'],"['中餐', '晚餐', '宵夜']",120.662462,24.146502,(04)2305-6688,,週一至週五 11:30~14:30 17:30~00:00 週六至週日 11:30~00:00,https://picdn.gomaji.com/uploads/stores/005/99005/127120/IMG_0278.jpg?1518192027,餐券,https://www.facebook.com/aomorinabemono/,	想像一下，在日本青森縣，看著那矮矮白雪的山林中藴育著無數的珍寶食材，那聞名全世界的青蘋果森林，讓人忍不住想久居於此，尤其因有著豐沃的食材，可以盡情炊煮著天然的野味，鮮美滋味不同於一般鍋物。
66,6600600,"台中市西屯區台灣大道三段593號(近秋紅谷商圈)
                                                    
",台中商旅,美食,['小吃/特產類'],['異國料理'],"['中餐', '宵夜']",120.6393822,24.1674233,(04)2255-6688,,週一至週日 12:00~00:00,https://picdn.gomaji.com/uploads/stores/450/4450/183126/4450-183126-m.jpg?1517387399,餐券,, 台中商旅	位於台中市七期重劃區精華地段，緊鄰烏日高鐵接駁車轉乘站、新光三越百貨及逢甲商圈。交通便捷，生活機能佳，滿足洽公、旅遊、美食及購物需求，打造出一個新時代的頂級商旅。精心打造數十間精緻客房、２間頂樓空中花園 VILLA、貴賓專屬交誼廳、獨立美式酒吧、1F 餐廳、ISDN 視訊會議室、商務上網區、健身房和貴賓平面式停車場。
66,6600600,"台中市西屯區惠中路一段117號
                                                    
",Aqua水相餐廳,美食,['小吃/特產類'],['其他'],"['中餐', '晚餐']",120.64354,24.1596879,(04)2258-1616,http://www.aquatea.com.tw/,週一至週五 11:30~22:00 週六至週日 11:00~22:00 (下午茶最晚點餐時間 16:50),https://picdn.gomaji.com/uploads/stores/209/3209/192944/3209-192944-m-1516771809.jpg?1517387283,餐券,https://www.facebook.com/aquatea2006/,	Aqua水相餐廳佔地遼闊、建築設計採白色典雅風，不知道的人經過還會以為是新設的博物館，美麗優雅有之，餐點當然精緻過人，來此吃頓飯，不只飽足了口腹之慾，更是場視覺與味覺的饗宴，工作繁忙之餘，來此犒賞自己一番吧！
,,,台灣一起夢想公益協會,美食,['小吃/特產類'],['其他'],,,,,http://www.gomaji.com/510/,,https://picdn.gomaji.com/uploads/stores/190/36190/194850/13.jpg?1518054739,餐券,,「我想要當音樂老師！」	「我想要表演給阿嬤看！」
66,6600500,"台中市北區三民路三段161號15樓(中友百貨C棟)
                                                    
",藍象廷泰鍋(中友店),美食,['小吃/特產類'],['異國料理'],['中餐'],120.6849171,24.1521254,(04)2225-9610,http://www.lanxianting.com.tw/,週一至週五 11:00~21:30 週六至週日 11:00~22:00,https://picdn.gomaji.com/uploads/stores/594/69594/189390/69594-189390-m.jpg?1517387323,餐券,,❀各大媒體報導，泰式新吃法，泰式＋日式＝創意新風味！
66,6600400,"台中市西區公益路290號
                                                    
",黑浮咖啡(台中公益店),美食,['小吃/特產類'],['甜點冰品'],['早餐'],120.6534335,24.1510661,(04)2320-8280,,週一至週日 08:30~22:00,https://picdn.gomaji.com/uploads/stores/689/117689/179276/IMG_5894.jpg?1517387312,餐券,,   黑浮咖啡 (台中公益店)   ♞
66,6600900,"台中市豐原區成功路500號(家樂福豐原店1樓)
                                                    
",野宴二代王樣店(萬華桂林旗艦店),美食,['小吃/特產類'],['其他'],"['中餐', '晚餐']",,,(04)2522-0338,,週一至週五 11:00~15:00 17:00~22:00 週六至週日及國定例假日 11:00~22:00,https://picdn.gomaji.com/uploads/stores/898/82898/194483/82898-194483-m-1517901042.jpg?1518086167,餐券,,野 宴 二 代 王 樣 店    
66,6600800,"台中市北屯區后庄路306號
                                                    
",台中兆品酒店-品東西自助百匯,美食,['小吃/特產類'],['其他'],"['中餐', '晚餐']",120.6676588,24.1915512,(04)2425-8599 # 3330、3331、3332,,週一至週日 11:30~14:00 17:30~21:00,https://picdn.gomaji.com/uploads/stores/838/7838/157645/7838-157645-m.jpg?1517387274,餐券,,	台中兆品酒店為中台灣國際級商務酒店，距中清交流道及中彰快速道路僅咫尺之遙。以最「家」連鎖飯店呈現溫暖、優雅的都會精品風格，新穎的硬體設施，以及高品質的服務熱忱，更是備受顧客肯定。
66,6600900,"台中市豐原區成功路500號(家樂福豐原店1樓)
                                                    
",野宴二代王樣店(萬華桂林旗艦店),美食,['小吃/特產類'],['其他'],"['中餐', '晚餐']",120.706,24.252101,(04)2522-0338,,週一至週五 11:00~15:00 17:00~22:00 週六至週日及國定例假日 11:00~22:00,https://picdn.gomaji.com/uploads/stores/898/82898/193139/82898-193139-m-1517825839.jpg?1518086197,餐券,,野宴二代王樣店   
66,6600400,"台中市西區公益路331號(近公益商圈)
                                                    
",有時精釀餐酒館,美食,['小吃/特產類'],['其他'],"['晚餐', '宵夜']",,,(04)2325-2312,,週一至週五 17:30~00:30 週六至週日 15:00~00:30 每週二公休,https://picdn.gomaji.com/uploads/stores/433/111433/167550/IMG_0314-拷貝(1).jpg?1517802336,餐券,, 有時精釀
